Trial,Error,Current Angles
85,50.23375293244703,"[0.5072363265792799, 0.5158887890587357]"
86,50.31850478584328,"[0.5113013285544991, 0.5201181359088884]"
87,50.4030910862866,"[0.5153324139720299, 0.5243129734826941]"
88,50.48750168882694,"[0.519329889609498, 0.5284735495154793]"
89,50.57172678697825,"[0.523294059486172, 0.5326001103297446]"
90,50.65575690432293,"[0.5272252248667322, 0.5366929008418907]"
91,50.73958288628492,"[0.5311236842661634, 0.5407521645686812]"
92,50.82319589207023,"[0.5349897334557239, 0.5447781436334596]"
93,50.9065873867734,"[0.5388236654699363, 0.5487710787721408]"
94,50.989749133648225,"[0.5426257706145519, 0.5527312093389916]"
95,51.07267318654115,"[0.5463963364754367, 0.5566587733122156]"
96,51.1553518824855,"[0.550135647928341, 0.5605540072993651]"
97,51.237777834454604,"[0.5538439871494978, 0.5644171465425855]"
